,state,participation_for_sat,sat_reading_writing_score,sat_math_score,sat_total,participation_for_act,act_composite_score
0,alabama,0.06,595,571,1166,1.0,19.1
1,alaska,0.43,562,544,1106,0.33,20.8
2,arizona,0.29,577,572,1149,0.66,19.2
3,arkansas,0.05,592,576,1169,1.0,19.4
4,california,0.6,540,536,1076,0.27,22.7
5,colorado,1.0,519,506,1025,0.3,23.9
6,connecticut,1.0,535,519,1053,0.26,25.6
7,delaware,1.0,505,492,998,0.17,23.8
8,district of columbia,0.92,497,480,977,0.32,23.6
9,florida,0.56,550,549,1099,0.66,19.9
10,georgia,0.7,542,522,1064,0.53,21.4
11,hawaii,0.56,480,530,1010,0.89,18.9
12,idaho,1.0,508,493,1001,0.36,22.3
13,illinois,0.99,513,506,1019,0.43,23.9
14,indiana,0.63,542,532,1074,0.32,22.5
15,iowa,0.03,634,631,1265,0.68,21.8
16,kansas,0.04,633,631,1265,0.71,21.6
17,kentucky,0.04,630,618,1248,1.0,20.2
18,louisiana,0.04,615,595,1210,1.0,19.2
19,maine,0.99,512,501,1013,0.07,24.0
20,maryland,0.76,545,535,1080,0.31,22.5
21,massachusetts,0.8,562,563,1125,0.25,25.5
22,michigan,1.0,511,499,1011,0.22,24.2
23,minnesota,0.04,643,655,1298,0.99,21.3
24,mississippi,0.03,630,606,1236,1.0,18.6
25,missouri,0.04,633,629,1262,1.0,20.0
26,montana,0.1,606,592,1198,1.0,20.0
27,nebraska,0.03,629,623,1252,1.0,20.1
28,nevada,0.23,574,566,1140,1.0,17.7
29,new hampshire,0.96,535,528,1063,0.16,25.1
30,new jersey,0.82,547,547,1094,0.31,23.7
31,new mexico,0.16,552,540,1093,0.67,19.4
32,new york,0.79,534,534,1068,0.27,24.5
33,north carolina,0.52,554,543,1098,1.0,19.1
34,north dakota,0.02,640,643,1283,0.98,20.3
35,oklahoma,0.08,541,521,1062,1.0,19.3
36,ohio,0.18,552,547,1099,1.0,20.3
37,oregon,0.48,564,553,1117,0.42,21.3
38,pennsylvania,0.7,547,539,1086,0.2,23.5
39,rhode island,0.97,513,505,1018,0.15,24.2
40,south carolina,0.55,547,523,1070,1.0,18.3
41,south dakota,0.03,622,618,1240,0.77,21.9
42,tennessee,0.06,624,607,1231,1.0,19.6
43,texas,0.66,520,512,1032,0.45,20.7
44,utah,0.04,480,530,1010,1.0,20.4
45,vermont,0.64,565,554,1120,0.24,24.1
46,virginia,0.68,567,550,1117,0.24,23.9
47,washington,0.69,543,538,1081,0.24,22.2
48,west virginia,0.28,513,486,999,0.65,20.3
49,wisconsin,0.03,641,653,1294,1.0,20.5
50,wyoming,0.03,633,625,1257,1.0,20.0
